date,Size USD,Closed PnL,value,classification,date_dt
2023-05-01,477.0,0.0,63.0,Greed,2023-05-01
2023-12-05,50005.83,0.0,75.0,Extreme Greed,2023-12-05
2023-12-14,113203.35,-205.43473700000007,72.0,Greed,2023-12-14
2023-12-15,10609.95,-24.632033999999997,70.0,Greed,2023-12-15
2023-12-16,15348.77,0.0,67.0,Greed,2023-12-16
2023-12-17,116278.02,304.982785,73.0,Greed,2023-12-17
2023-12-18,31164.179999999997,0.0,65.0,Greed,2023-12-18
2023-12-19,91602.41,1000.5386120000001,73.0,Greed,2023-12-19
2023-12-20,141636.79,162.732282,74.0,Greed,2023-12-20
2023-12-21,125233.97,537.211402,70.0,Greed,2023-12-21
2023-12-22,88874.28,141.832675,74.0,Greed,2023-12-22
2023-12-23,78438.25,146.936704,70.0,Greed,2023-12-23
2023-12-24,402954.94,1008.619956,71.0,Greed,2023-12-24
2023-12-25,59948.51,-245.081348,73.0,Greed,2023-12-25
2023-12-27,171411.06,-704.8892269999999,73.0,Greed,2023-12-27
2023-12-28,100117.25,-970.730876,73.0,Greed,2023-12-28
2023-12-29,569559.72,508.92214299999995,65.0,Greed,2023-12-29
2023-12-30,702550.21,354.998648,68.0,Greed,2023-12-30
2024-01-01,264239.52999999997,-129.53146,65.0,Greed,2024-01-01
2024-01-02,121348.74,783.979116,71.0,Greed,2024-01-02
2024-01-03,394499.36,866.015507,70.0,Greed,2024-01-03
2024-01-04,99792.54000000001,-67.60364,68.0,Greed,2024-01-04
2024-01-05,1703942.66,164.141565,72.0,Greed,2024-01-05
2024-01-06,298521.4,135.58166400000002,70.0,Greed,2024-01-06
2024-01-07,1048850.06,-835.681235,71.0,Greed,2024-01-07
2024-01-08,1522452.43,-269.874439,71.0,Greed,2024-01-08
2024-01-09,870051.97,-826.349863,76.0,Extreme Greed,2024-01-09
2024-01-10,2057479.48,-1517.091342,73.0,Greed,2024-01-10
2024-01-11,305314.1,-164.08950099999998,76.0,Extreme Greed,2024-01-11
2024-01-12,200082.27,-1925.519024,71.0,Greed,2024-01-12
2024-01-15,50636.1,152.85358,52.0,Neutral,2024-01-15
2024-01-16,116427.33,-2299.171458,64.0,Greed,2024-01-16
2024-01-17,800831.03,813.2741110000001,60.0,Greed,2024-01-17
2024-01-18,424631.52999999997,68.93319,63.0,Greed,2024-01-18
2024-01-19,428428.97,-385.419235,51.0,Neutral,2024-01-19
2024-01-20,1070090.51,-146.57487000000003,52.0,Neutral,2024-01-20
2024-01-21,103129.74,266.58114600000005,56.0,Greed,2024-01-21
2024-01-22,337878.99,1375.640959,55.0,Greed,2024-01-22
2024-01-23,414518.93000000005,-369.2447299999998,50.0,Neutral,2024-01-23
2024-01-24,965084.59,-2808.353815,48.0,Neutral,2024-01-24
2024-01-25,66566.13,-3093.6293849999997,52.0,Neutral,2024-01-25
2024-01-26,11773.21,90.2,49.0,Neutral,2024-01-26
2024-01-28,18109.03,-2478.06972,54.0,Neutral,2024-01-28
2024-01-29,414208.18,486.562542,55.0,Greed,2024-01-29
2024-01-30,401011.38,-173.65419100000003,61.0,Greed,2024-01-30
2024-01-31,6305647.13,-799.840817,60.0,Greed,2024-01-31
2024-02-01,2008.18,0.0,63.0,Greed,2024-02-01
2024-02-02,474278.43,456.423473,63.0,Greed,2024-02-02
2024-02-03,603820.0,223.30918699999998,60.0,Greed,2024-02-03
2024-02-04,203187.53,47.62389499999999,60.0,Greed,2024-02-04
2024-02-05,770198.26,-33.45419400000003,60.0,Greed,2024-02-05
2024-02-06,8047153.41,-215.615907,64.0,Greed,2024-02-06
